Crop,Symptoms,Disease,Severity
Banana,Root rot,Panama Disease,Medium
Maize,"Brown spots on leaves, Wilting stems",Common Rust,Medium
Tomato,"Leaf curl, Yellow leaves, Stunted growth",Leaf Curl,High
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,High
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,High
Rice,"Brown spots on leaves, Black lesions",Blast,Critical
Wheat,"Yellow leaves, Stunted growth",Root Rot,Low
Rice,Stunted growth,Blast,Medium
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,High
Tomato,"Yellow leaves, Leaf curl",Leaf Curl,Medium
Soybean,Yellow leaves,Rust,Medium
Banana,Black lesions,Black Sigatoka,High
Sugarcane,Rusty orange pustules,Rust,High
Tomato,"Stunted growth, Yellow leaves, White powder on leaves",Leaf Curl,Medium
Grapes,"Premature fruit drop, White powder on leaves, Yellow leaves",Downy Mildew,Medium
Soybean,Root rot,Root Rot,Medium
Banana,"Wilting stems, Yellow leaves, Root rot",Panama Disease,Critical
Soybean,"Root rot, Stunted growth, Wilting stems",Root Rot,High
Wheat,"Rusty orange pustules, Yellow leaves, Stunted growth",Leaf Rust,Medium
Soybean,"Yellow leaves, Rusty orange pustules, Premature fruit drop",Rust,Medium
Soybean,"Yellow leaves, Premature fruit drop, Rusty orange pustules, Root rot",Rust,High
Tomato,Premature fruit drop,Early Blight,Low
Grapes,Premature fruit drop,Downy Mildew,Medium
Banana,"Black lesions, Brown spots on leaves, Premature fruit drop",Black Sigatoka,Medium
Grapes,"Premature fruit drop, White powder on leaves",Downy Mildew,Critical
Wheat,White powder on leaves,Powdery Mildew,Medium
Mango,Black lesions,Anthracnose,Low
Tomato,"Yellow leaves, Black lesions",Early Blight,High
Banana,"Premature fruit drop, Water-soaked patches",Black Sigatoka,Critical
Tomato,"Water-soaked patches, Fruit discoloration, Root rot",Late Blight,High
Sugarcane,"Rusty orange pustules, Brown spots on leaves, Root rot",Rust,Low
Tomato,Premature fruit drop,Early Blight,Critical
Maize,"Black lesions, Yellow leaves",Leaf Blight,Low
Rice,"Black lesions, Brown spots on leaves, Stunted growth",Blast,Critical
Groundnut,"Brown spots on leaves, Premature fruit drop",Leaf Spot,Critical
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,High
Tomato,"Premature fruit drop, Brown spots on leaves, Yellow leaves, Water-soaked patches",Early Blight,Medium
Rice,"Black lesions, Brown spots on leaves",Blast,Medium
Sugarcane,"Wilting stems, Stunted growth, Yellow leaves",Red Rot,High
Potato,"Wilting stems, Black lesions, Water-soaked patches",Late Blight,Medium
Banana,"Brown spots on leaves, Black lesions, Rusty orange pustules",Black Sigatoka,Low
Wheat,Yellow leaves,Root Rot,High
Wheat,"Yellow leaves, White powder on leaves",Powdery Mildew,High
Mango,"Premature fruit drop, Fruit discoloration, Black lesions",Anthracnose,Medium
Potato,Wilting stems,Late Blight,High
Potato,Stunted growth,Black Scurf,High
Soybean,"Root rot, Stunted growth",Root Rot,High
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,Critical
Soybean,"Root rot, Stunted growth, Wilting stems",Root Rot,Medium
Soybean,"Premature fruit drop, Rusty orange pustules",Rust,Low
Potato,Yellow leaves,Early Blight,Medium
Banana,"Root rot, Wilting stems",Panama Disease,Medium
Tomato,"Yellow leaves, Root rot",Early Blight,Critical
Banana,"Yellow leaves, Root rot",Panama Disease,Low
